task_name,arg_type,dtype,hidden_size,num_tokens,world_size,rank,num_shared_experts,dp_size,sp_size,num_experts,topk,ep_size,latency(us),read_bytes(B),write_bytes(B),io_bytes(B),mem_bw(GB/s),calc_flops,calc_flops_power(tflops),calc_mem_ratio
moe_gather,llm,bfloat16,4096,14336,8,0,0,1,1,64,4,8,1682.871,117469184,58720256,176189440,104.696,0,0.0,0.0
moe_gather,llm,bfloat16,4096,16384,8,0,0,1,1,64,4,8,1930.555,134250496,67108864,201359360,104.301,0,0.0,0.0
moe_gather,llm,bfloat16,4096,18432,8,0,0,1,1,64,4,8,2171.79,151031808,75497472,226529280,104.305,0,0.0,0.0
moe_gather,llm,bfloat16,4096,20480,8,0,0,1,1,64,4,8,2410.086,167813120,83886080,251699200,104.436,0,0.0,0.0
moe_gather,llm,bfloat16,4096,22528,8,0,0,1,1,64,4,8,2651.657,184594432,92274688,276869120,104.414,0,0.0,0.0
moe_gather,llm,bfloat16,4096,24576,8,0,0,1,1,64,4,8,2882.903,201375744,100663296,302039040,104.769,0,0.0,0.0
moe_gather,llm,bfloat16,4096,26624,8,0,0,1,1,64,4,8,3123.514,218157056,109051904,327208960,104.757,0,0.0,0.0
moe_gather,llm,bfloat16,4096,28672,8,0,0,1,1,64,4,8,3367.161,234938368,117440512,352378880,104.652,0,0.0,0.0
moe_gather,llm,bfloat16,4096,32768,8,0,0,1,1,64,4,8,3846.164,268500992,134217728,402718720,104.707,0,0.0,0.0
moe_gather,llm,bfloat16,4096,32,8,0,0,1,1,64,4,8,20.524,262208,131072,393280,19.162,0,0.0,0.0
moe_gather,llm,bfloat16,4096,40,8,0,0,1,1,64,4,8,9.222,327760,163840,491600,53.307,0,0.0,0.0
moe_gather,llm,bfloat16,4096,48,8,0,0,1,1,64,4,8,10.554,393312,196608,589920,55.895,0,0.0,0.0
moe_gather,llm,bfloat16,4096,56,8,0,0,1,1,64,4,8,11.366,458864,229376,688240,60.553,0,0.0,0.0
moe_gather,llm,bfloat16,4096,64,8,0,0,1,1,64,4,8,12.09,524416,262144,786560,65.058,0,0.0,0.0
moe_gather,llm,bfloat16,4096,72,8,0,0,1,1,64,4,8,12.91,589968,294912,884880,68.542,0,0.0,0.0
moe_gather,llm,bfloat16,4096,80,8,0,0,1,1,64,4,8,14.044,655520,327680,983200,70.008,0,0.0,0.0
moe_gather,llm,bfloat16,4096,88,8,0,0,1,1,64,4,8,14.878,721072,360448,1081520,72.692,0,0.0,0.0
moe_gather,llm,bfloat16,4096,96,8,0,0,1,1,64,4,8,15.174,786624,393216,1179840,77.754,0,0.0,0.0
moe_gather,llm,bfloat16,4096,104,8,0,0,1,1,64,4,8,15.048,852176,425984,1278160,84.939,0,0.0,0.0
moe_gather,llm,bfloat16,4096,112,8,0,0,1,1,64,4,8,14.668,917728,458752,1376480,93.842,0,0.0,0.0
moe_gather,llm,bfloat16,4096,120,8,0,0,1,1,64,4,8,15.584,983280,491520,1474800,94.636,0,0.0,0.0
moe_gather,llm,bfloat16,4096,128,8,0,0,1,1,64,4,8,16.906,1048832,524288,1573120,93.052,0,0.0,0.0
moe_gather,llm,bfloat16,4096,144,8,0,0,1,1,64,4,8,18.794,1179936,589824,1769760,94.166,0,0.0,0.0
moe_gather,llm,bfloat16,4096,160,8,0,0,1,1,64,4,8,20.498,1311040,655360,1966400,95.931,0,0.0,0.0
moe_gather,llm,bfloat16,4096,176,8,0,0,1,1,64,4,8,22.072,1442144,720896,2163040,97.999,0,0.0,0.0
moe_gather,llm,bfloat16,4096,192,8,0,0,1,1,64,4,8,23.406,1573248,786432,2359680,100.815,0,0.0,0.0
moe_gather,llm,bfloat16,4096,208,8,0,0,1,1,64,4,8,25.648,1704352,851968,2556320,99.67,0,0.0,0.0
moe_gather,llm,bfloat16,4096,224,8,0,0,1,1,64,4,8,27.426,1835456,917504,2752960,100.377,0,0.0,0.0
moe_gather,llm,bfloat16,4096,240,8,0,0,1,1,64,4,8,29.5,1966560,983040,2949600,99.987,0,0.0,0.0
moe_gather,llm,bfloat16,4096,256,8,0,0,1,1,64,4,8,30.968,2097664,1048576,3146240,101.596,0,0.0,0.0
moe_gather,llm,bfloat16,4096,288,8,0,0,1,1,64,4,8,34.04,2359872,1179648,3539520,103.981,0,0.0,0.0
moe_gather,llm,bfloat16,4096,320,8,0,0,1,1,64,4,8,37.698,2622080,1310720,3932800,104.323,0,0.0,0.0
moe_gather,llm,bfloat16,4096,352,8,0,0,1,1,64,4,8,42.022,2884288,1441792,4326080,102.948,0,0.0,0.0
moe_gather,llm,bfloat16,4096,384,8,0,0,1,1,64,4,8,45.198,3146496,1572864,4719360,104.415,0,0.0,0.0
moe_gather,llm,bfloat16,4096,416,8,0,0,1,1,64,4,8,47.99,3408704,1703936,5112640,106.534,0,0.0,0.0
moe_gather,llm,bfloat16,4096,448,8,0,0,1,1,64,4,8,52.198,3670912,1835008,5505920,105.482,0,0.0,0.0
moe_gather,llm,bfloat16,4096,480,8,0,0,1,1,64,4,8,55.561,3933120,1966080,5899200,106.176,0,0.0,0.0
moe_gather,llm,bfloat16,4096,512,8,0,0,1,1,64,4,8,58.566,4195328,2097152,6292480,107.443,0,0.0,0.0
moe_gather,llm,bfloat16,4096,640,8,0,0,1,1,64,4,8,72.77,5244160,2621440,7865600,108.088,0,0.0,0.0
moe_gather,llm,bfloat16,4096,768,8,0,0,1,1,64,4,8,86.713,6292992,3145728,9438720,108.851,0,0.0,0.0
moe_gather,llm,bfloat16,4096,896,8,0,0,1,1,64,4,8,101.588,7341824,3670016,11011840,108.397,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1024,8,0,0,1,1,64,4,8,115.041,8390656,4194304,12584960,109.395,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1152,8,0,0,1,1,64,4,8,129.289,9439488,4718592,14158080,109.508,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1280,8,0,0,1,1,64,4,8,143.519,10488320,5242880,15731200,109.611,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1408,8,0,0,1,1,64,4,8,157.122,11537152,5767168,17304320,110.133,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1536,8,0,0,1,1,64,4,8,172.571,12585984,6291456,18877440,109.39,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1664,8,0,0,1,1,64,4,8,189.147,13634816,6815744,20450560,108.12,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1792,8,0,0,1,1,64,4,8,202.987,14683648,7340032,22023680,108.498,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1920,8,0,0,1,1,64,4,8,226.013,15732480,7864320,23596800,104.405,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2048,8,0,0,1,1,64,4,8,244.527,16781312,8388608,25169920,102.933,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2176,8,0,0,1,1,64,4,8,263.444,17830144,8912896,26743040,101.513,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2304,8,0,0,1,1,64,4,8,281.105,18878976,9437184,28316160,100.732,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2432,8,0,0,1,1,64,4,8,299.157,19927808,9961472,29889280,99.912,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2560,8,0,0,1,1,64,4,8,317.211,20976640,10485760,31462400,99.185,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2688,8,0,0,1,1,64,4,8,336.473,22025472,11010048,33035520,98.182,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2816,8,0,0,1,1,64,4,8,355.007,23074304,11534336,34608640,97.487,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2944,8,0,0,1,1,64,4,8,370.631,24123136,12058624,36181760,97.622,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3072,8,0,0,1,1,64,4,8,386.225,25171968,12582912,37754880,97.754,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3200,8,0,0,1,1,64,4,8,402.762,26220800,13107200,39328000,97.646,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3328,8,0,0,1,1,64,4,8,420.11,27269632,13631488,40901120,97.358,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3456,8,0,0,1,1,64,4,8,436.751,28318464,14155776,42474240,97.25,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3584,8,0,0,1,1,64,4,8,453.557,29367296,14680064,44047360,97.115,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3712,8,0,0,1,1,64,4,8,468.47,30416128,15204352,45620480,97.382,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3840,8,0,0,1,1,64,4,8,484.823,31464960,15728640,47193600,97.342,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3968,8,0,0,1,1,64,4,8,500.99,32513792,16252928,48766720,97.341,0,0.0,0.0
moe_gather,llm,bfloat16,4096,4096,8,0,0,1,1,64,4,8,517.132,33562624,16777216,50339840,97.344,0,0.0,0.0
moe_gather,llm,bfloat16,4096,6144,8,0,0,1,1,64,4,8,771.613,50343936,25165824,75509760,97.86,0,0.0,0.0
moe_gather,llm,bfloat16,4096,8192,8,0,0,1,1,64,4,8,1027.64,67125248,33554432,100679680,97.972,0,0.0,0.0
moe_gather,llm,bfloat16,4096,10240,8,0,0,1,1,64,4,8,1280.488,83906560,41943040,125849600,98.283,0,0.0,0.0
moe_gather,llm,bfloat16,4096,12288,8,0,0,1,1,64,4,8,1535.494,100687872,50331648,151019520,98.352,0,0.0,0.0
moe_gather,llm,bfloat16,4096,14336,8,0,0,1,1,64,4,8,1692.735,117469184,58720256,176189440,104.086,0,0.0,0.0
moe_gather,llm,bfloat16,4096,16384,8,0,0,1,1,64,4,8,1931.012,134250496,67108864,201359360,104.277,0,0.0,0.0
moe_gather,llm,bfloat16,4096,18432,8,0,0,1,1,64,4,8,2174.191,151031808,75497472,226529280,104.19,0,0.0,0.0
moe_gather,llm,bfloat16,4096,20480,8,0,0,1,1,64,4,8,2410.579,167813120,83886080,251699200,104.414,0,0.0,0.0
moe_gather,llm,bfloat16,4096,22528,8,0,0,1,1,64,4,8,2647.024,184594432,92274688,276869120,104.596,0,0.0,0.0
moe_gather,llm,bfloat16,4096,24576,8,0,0,1,1,64,4,8,2886.907,201375744,100663296,302039040,104.624,0,0.0,0.0
moe_gather,llm,bfloat16,4096,26624,8,0,0,1,1,64,4,8,3126.564,218157056,109051904,327208960,104.654,0,0.0,0.0
moe_gather,llm,bfloat16,4096,28672,8,0,0,1,1,64,4,8,3366.142,234938368,117440512,352378880,104.683,0,0.0,0.0
moe_gather,llm,bfloat16,4096,32768,8,0,0,1,1,64,4,8,3841.814,268500992,134217728,402718720,104.825,0,0.0,0.0
